access-location,nanoseconds
arr[22248],1404
arr[50777],1434
arr[188610],1560
arr[198681],1422
arr[164907],1410
arr[120528],1470
arr[58754],1404
arr[182843],1416
arr[136037],1350
arr[224604],1416
arr[144899],1416
arr[228202],1428
arr[241820],1362
arr[95164],1416
arr[230108],1326
arr[178974],1386
arr[155231],1320
arr[135585],1416
arr[99530],1776
arr[218601],1386
arr[166131],1488
arr[141127],1398
arr[67995],1458
arr[97474],1422
arr[191588],1476
arr[3023],1440
arr[184837],1434
arr[28903],1446
arr[184229],1392
arr[80438],1440
arr[207788],1404
arr[206477],1428
arr[131216],1446
arr[146398],1380
arr[155158],1428
arr[46123],1386
arr[33278],1398
arr[213913],1446
arr[245319],1416
arr[185667],1362
arr[188517],1446
